Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/03/2024,0,3.2,Enami,SO2,Paipote,Pronosticada,3bb0dca2-8d67-521c-acfb-22e22adbe79b
01/03/2024,1,15.5,Enami,SO2,Paipote,Pronosticada,06cda84c-da37-5895-b869-ffcbf09b3609
01/03/2024,2,4.6,Enami,SO2,Paipote,Pronosticada,fed0c3a6-8b6d-557d-b391-fe1e21f7325a
01/03/2024,3,4.0,Enami,SO2,Paipote,Pronosticada,17ef47eb-a3c5-5a7d-941e-48bc5bb52e3f
01/03/2024,4,25.7,Enami,SO2,Paipote,Pronosticada,fc8e7f6a-69f1-5c46-9a05-7882f66a90a5
01/03/2024,5,19.1,Enami,SO2,Paipote,Pronosticada,9b978afd-8fdc-5d80-b46a-99e90f46dc77
01/03/2024,6,8.0,Enami,SO2,Paipote,Pronosticada,30c38452-693b-5c5d-837d-50b22d56c11d
01/03/2024,7,6.0,Enami,SO2,Paipote,Pronosticada,a7639b77-10c9-5458-9607-bbd366e52a2a
01/03/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,4cb9a69d-ba88-573a-ab9f-a49ed851f2cf
01/03/2024,9,9.6,Enami,SO2,Paipote,Pronosticada,d00e8ae1-5357-5711-90c4-acddd8fb3122
01/03/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,c43302fa-27c8-5da5-9e47-2766fb58672e
01/03/2024,11,8.0,Enami,SO2,Paipote,Pronosticada,81fa68b7-d24b-55dd-b267-951f0c903652
01/03/2024,12,10.2,Enami,SO2,Paipote,Pronosticada,adb4cb4e-5129-5b41-9193-b58d305474c5
01/03/2024,13,3.7,Enami,SO2,Paipote,Pronosticada,c9b4b654-961d-5080-b59a-8ce90c58ee3d
01/03/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,84421280-75b5-56fb-b84d-82ac93915399
01/03/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,cc15ad6a-a1e6-562a-97c2-668d9a2e88b9
01/03/2024,16,6.4,Enami,SO2,Paipote,Pronosticada,933a122f-1efc-565e-8429-2a6d35d48dd9
