Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/10/2023,21,30.6,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,22,55.2,Sierra Gorda,MP10,Sierra Gorda
05/10/2023,23,33.8,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,0,39.8,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,1,23.2,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,2,27.3,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,3,11.4,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,4,37.6,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,5,41.0,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,6,51.0,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,7,60.2,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,8,58.2,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,9,98.8,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,10,102.6,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,11,52.0,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,12,31.0,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,13,40.8,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,14,31.4,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,16,29.6,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,17,66.0,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,18,32.8,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,19,34.4,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,20,63.4,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,21,75.6,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,22,21.2,Sierra Gorda,MP10,Sierra Gorda
05/11/2023,23,42.2,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,0,33.5,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,1,31.6,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,2,47.5,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,3,23.0,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,4,36.9,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,5,20.0,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,6,54.8,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,7,70.2,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,8,84.0,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,9,105.7,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,10,102.6,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,11,39.8,Sierra Gorda,MP10,Sierra Gorda
05/12/2023,12,41.2,Sierra Gorda,MP10,Sierra Gorda
