"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"09/11/2023","14","33.6"
"09/11/2023","15","21.5"
"09/11/2023","16","36.5"
"09/11/2023","17","49.0"
"09/11/2023","18","131.5"
"09/11/2023","19","71.8"
"09/11/2023","20","19.5"
"09/11/2023","21","28.2"
"09/11/2023","22","115.6"
"09/11/2023","23","280.9"
"10/11/2023","0","70.3"
"10/11/2023","1","50.4"
"10/11/2023","2","158.7"
"10/11/2023","3","165.1"
"10/11/2023","4","119.2"
"10/11/2023","5","132.2"
"10/11/2023","6","236.7"
"10/11/2023","7","201.9"
"10/11/2023","8","112.0"
"10/11/2023","9","176.6"
"10/11/2023","10","150.4"
"10/11/2023","11","135.4"
"10/11/2023","12","170.0"
"10/11/2023","13","73.6"
"10/11/2023","14","40.9"
"10/11/2023","15","52.6"
"10/11/2023","16","25.6"
"10/11/2023","17","27.7"
"10/11/2023","18","26.5"
"10/11/2023","19","24.6"
"10/11/2023","20","49.6"
"10/11/2023","21","30.1"
"10/11/2023","22","25.5"
"10/11/2023","23","119.3"
"11/11/2023","0","22.4"
"11/11/2023","1","26.5"
"11/11/2023","2","26.5"
"11/11/2023","3","229.0"
"11/11/2023","4","90.9"
"11/11/2023","5","133.4"
"11/11/2023","6","236.3"
"11/11/2023","7","191.5"
"11/11/2023","8","182.1"
"11/11/2023","9","508.3"
"11/11/2023","10","302.2"
"11/11/2023","11","170.5"
"11/11/2023","12","65.1"
"11/11/2023","13","59.9"
"11/11/2023","14","37.0"
"11/11/2023","15","20.3"
"11/11/2023","16","24.4"
"11/11/2023","17","69.2"
"11/11/2023","18","156.0"
"11/11/2023","19","90.2"
"11/11/2023","20","29.4"
"11/11/2023","21","11.6"
"11/11/2023","22","12.8"
"11/11/2023","23","33.3"
"12/11/2023","0","163.6"
"12/11/2023","1","241.4"
"12/11/2023","2","82.8"
"12/11/2023","3","51.4"
"12/11/2023","4","343.0"
"12/11/2023","5","167.6"
"12/11/2023","6","337.8"
"12/11/2023","7","294.0"
"12/11/2023","8","241.2"
"12/11/2023","9","139.9"
"12/11/2023","10","48.7"
"12/11/2023","11","24.9"
"12/11/2023","12","29.2"
"12/11/2023","13","14.6"
"12/11/2023","14","20.2"
"12/11/2023","15","21.7"
"12/11/2023","16","92.6"
"12/11/2023","17","50.2"
"12/11/2023","18","98.3"
"12/11/2023","19","30.9"
"12/11/2023","20","18.0"
"12/11/2023","21","35.7"
"12/11/2023","22","34.8"
"12/11/2023","23","138.3"
"13/11/2023","0","172.6"
"13/11/2023","1","207.5"
"13/11/2023","2","297.6"
"13/11/2023","3","92.4"
"13/11/2023","4","662.1"
"13/11/2023","5","964.0"
"13/11/2023","6","509.0"
"13/11/2023","7","421.8"
"13/11/2023","8","267.0"
"13/11/2023","9","61.5"
"13/11/2023","10","91.4"
"13/11/2023","11","60.0"
"13/11/2023","12","46.7"
"13/11/2023","13","27.5"
"13/11/2023","14","19.8"
"13/11/2023","15","23.9"
"13/11/2023","16","29.2"
"13/11/2023","17","193.0"
"13/11/2023","18","50.9"
"13/11/2023","19","21.2"
"13/11/2023","20","8.4"
"13/11/2023","21","19.4"
"13/11/2023","22","102.5"
"13/11/2023","23","201.6"
"14/11/2023","0","274.5"
"14/11/2023","1","428.4"
"14/11/2023","2","139.8"
"14/11/2023","3","391.3"
"14/11/2023","4","288.2"
"14/11/2023","5","196.4"
"14/11/2023","6","919.0"
"14/11/2023","7","1000.0"
"14/11/2023","8","589.3"
"14/11/2023","9","205.0"
"14/11/2023","10","76.4"
"14/11/2023","11","43.1"
"14/11/2023","12","34.6"
"14/11/2023","13","31.7"
"14/11/2023","14","44.1"
"14/11/2023","15","31.7"
"14/11/2023","16","38.4"
"14/11/2023","17","49.4"
"14/11/2023","18","30.9"
"14/11/2023","19","26.5"
"14/11/2023","20","0.8"
"14/11/2023","21","13.3"
"14/11/2023","22","47.7"
"14/11/2023","23","60.5"
"15/11/2023","0","42.8"
"15/11/2023","1","52.6"
"15/11/2023","2","115.6"
"15/11/2023","3","508.0"
"15/11/2023","4","423.4"
"15/11/2023","5","219.6"
"15/11/2023","6","146.2"
"15/11/2023","7","121.7"
"15/11/2023","8","247.0"
"15/11/2023","9","140.8"
"15/11/2023","10","58.1"
"15/11/2023","11","32.1"
"15/11/2023","12","41.1"
"15/11/2023","13","35.6"
"15/11/2023","14","44.3"
"15/11/2023","15","27.5"
"15/11/2023","16","41.9"
"15/11/2023","17","39.7"
"15/11/2023","18","35.4"
"15/11/2023","19","42.6"
"15/11/2023","20","23.6"
"15/11/2023","21","16.5"
"15/11/2023","22","33.3"
"15/11/2023","23","75.0"
"16/11/2023","0","68.1"
"16/11/2023","1","270.4"
"16/11/2023","2","270.4"
"16/11/2023","3","184.9"
"16/11/2023","4","269.0"
"16/11/2023","5","232.7"
"16/11/2023","6","85.5"
"16/11/2023","7","221.7"
"16/11/2023","8","116.1"
"16/11/2023","9","130.7"
"16/11/2023","10","77.7"
"16/11/2023","11","58.9"
"16/11/2023","12","55.8"
"16/11/2023","13","35.8"
"16/11/2023","14","27.8"
"16/11/2023","15","27.0"
"16/11/2023","16","24.2"
"16/11/2023","17","62.6"
"16/11/2023","18","61.6"
"16/11/2023","19","59.4"
