Fecha,Hora,Observada,Minera,Variable,Estacion,OBS-PRO,uuid
01/01/2024,2,1.1,Enami,Velocidad del Viento,Paipote,Observada,3ba95c28-359f-5b15-9b06-82ffa8e48bb6
01/01/2024,3,1.4,Enami,Velocidad del Viento,Paipote,Observada,0aa80778-be89-5a6c-9f82-792d220e656a
01/01/2024,4,1.2,Enami,Velocidad del Viento,Paipote,Observada,d0ed4286-e4ad-5d58-8608-6e4711938877
01/01/2024,5,1.4,Enami,Velocidad del Viento,Paipote,Observada,582b1f42-d3f3-5b6b-8b62-a9146e8aa633
01/01/2024,6,1.7,Enami,Velocidad del Viento,Paipote,Observada,6c798e0d-5b19-5286-b56b-e17258982212
01/01/2024,7,1.8,Enami,Velocidad del Viento,Paipote,Observada,c7fa01d5-1e1d-5e40-9510-bdd76e50ebf3
01/01/2024,8,1.3,Enami,Velocidad del Viento,Paipote,Observada,52e94964-d30c-5ff2-a1b6-c5fead1c8aba
01/01/2024,9,1.3,Enami,Velocidad del Viento,Paipote,Observada,67ee18db-a794-59d5-9cf2-a404680f613b
01/01/2024,10,2.0,Enami,Velocidad del Viento,Paipote,Observada,4e4beaef-0c06-5ca9-aca5-179343274472
01/01/2024,11,2.7,Enami,Velocidad del Viento,Paipote,Observada,778640cd-258e-59ac-8955-6f849081bddd
01/01/2024,12,3.6,Enami,Velocidad del Viento,Paipote,Observada,dc93e5fc-ef44-5a16-ba96-4a2bb9be88c2
01/01/2024,13,4.2,Enami,Velocidad del Viento,Paipote,Observada,f916714f-5c8b-52d1-bf01-fbdad36c7a37
01/01/2024,14,4.4,Enami,Velocidad del Viento,Paipote,Observada,6fec7f82-5a22-53a8-9ac6-b0aa7399a9ae
01/01/2024,15,5.1,Enami,Velocidad del Viento,Paipote,Observada,3fb09e34-ad6e-5450-a8c5-b5721f84e803
01/01/2024,16,5.1,Enami,Velocidad del Viento,Paipote,Observada,627c412d-8e57-50eb-8e4a-6261e1f8d5f0
01/01/2024,17,5.1,Enami,Velocidad del Viento,Paipote,Observada,a04c60bd-ad58-5c6f-a06c-78b1a56be5a9
01/01/2024,18,4.7,Enami,Velocidad del Viento,Paipote,Observada,4eab66ae-32e9-5aac-89c8-2b8de21c6a94
01/01/2024,19,3.4,Enami,Velocidad del Viento,Paipote,Observada,a138cee5-e35d-5148-9cb6-bed06669c69c
01/01/2024,20,1.8,Enami,Velocidad del Viento,Paipote,Observada,cd816cb7-c198-59a0-b9b5-4435b7f6b76f
01/01/2024,21,1.5,Enami,Velocidad del Viento,Paipote,Observada,9a26d853-e6a0-58cf-93ec-fd99449e1e5b
01/01/2024,22,1.3,Enami,Velocidad del Viento,Paipote,Observada,b464e1ba-0d23-5e52-92f6-aea5c57a70f1
01/01/2024,23,1.1,Enami,Velocidad del Viento,Paipote,Observada,36107794-2bb7-5106-867d-177636a5bae6
01/02/2024,0,1.7,Enami,Velocidad del Viento,Paipote,Observada,e713e3b5-88a5-55d3-8042-a6e473fa43aa
01/02/2024,1,1.7,Enami,Velocidad del Viento,Paipote,Observada,26338d38-249f-569a-911e-ee960ba6430b
01/02/2024,2,1.4,Enami,Velocidad del Viento,Paipote,Observada,cb929410-6f6a-5291-bd5a-3c73f2d310f7
01/02/2024,3,1.1,Enami,Velocidad del Viento,Paipote,Observada,0e5967a3-b268-548f-9369-9a11ebd2df6c
01/02/2024,4,1.1,Enami,Velocidad del Viento,Paipote,Observada,8a3f8d6e-4f17-5744-9c70-1dceba79a4d2
01/02/2024,5,1.8,Enami,Velocidad del Viento,Paipote,Observada,b6df6422-43be-5e86-b794-6144ec92b845
01/02/2024,6,1.8,Enami,Velocidad del Viento,Paipote,Observada,3afd9a25-f20d-5231-8b4b-ead787849580
01/02/2024,7,1.8,Enami,Velocidad del Viento,Paipote,Observada,2d42713b-6d63-585a-a2eb-f373da20bfd2
01/02/2024,8,1.8,Enami,Velocidad del Viento,Paipote,Observada,c4f0e788-00fa-577c-9a5d-985b12b3a01e
01/02/2024,9,1.7,Enami,Velocidad del Viento,Paipote,Observada,99134adb-c3dc-5427-9b8e-4b3780939b09
01/02/2024,10,2.4,Enami,Velocidad del Viento,Paipote,Observada,a958978d-0d0f-5de4-aad1-8f6dd781e03c
01/02/2024,11,2.5,Enami,Velocidad del Viento,Paipote,Observada,4a64251a-8cbd-5849-b8d4-019a965c7158
01/02/2024,12,3.6,Enami,Velocidad del Viento,Paipote,Observada,95c4a594-e1fd-57f7-a630-da469001dc61
01/02/2024,13,3.8,Enami,Velocidad del Viento,Paipote,Observada,7c81b4fa-a46b-5ca9-b7fe-89e304503656
01/02/2024,14,4.4,Enami,Velocidad del Viento,Paipote,Observada,0b910372-8174-5353-ae70-b72cf1d3717a
01/02/2024,15,5.0,Enami,Velocidad del Viento,Paipote,Observada,6696bdf6-d80d-51c9-ab6e-9ec8838612a7
01/02/2024,16,5.0,Enami,Velocidad del Viento,Paipote,Observada,1bdf1974-7c75-506b-ade7-fa8207831322
01/02/2024,17,4.9,Enami,Velocidad del Viento,Paipote,Observada,754e6ea2-61c3-512a-8cbb-d3e2e655fe37
01/02/2024,18,4.8,Enami,Velocidad del Viento,Paipote,Observada,6a90aa60-2f0f-5753-89af-e4ef5afbbe1c
01/02/2024,19,4.4,Enami,Velocidad del Viento,Paipote,Observada,079d42c2-086a-56f5-ad85-b5d6657b5bf1
01/02/2024,20,2.1,Enami,Velocidad del Viento,Paipote,Observada,5e717fdb-7fe4-54c6-81da-bf08b5aa1641
01/02/2024,21,1.5,Enami,Velocidad del Viento,Paipote,Observada,a8503a60-5192-5296-a4d7-261e7aecad79
01/02/2024,22,2.6,Enami,Velocidad del Viento,Paipote,Observada,c4612c39-caac-5c91-a45e-548c4a1286a6
01/02/2024,23,2.2,Enami,Velocidad del Viento,Paipote,Observada,1e823c3b-50b4-581f-9868-a3007ee3618d
01/03/2024,0,2.5,Enami,Velocidad del Viento,Paipote,Observada,3bb0dca2-8d67-521c-acfb-22e22adbe79b
01/03/2024,1,2.5,Enami,Velocidad del Viento,Paipote,Observada,06cda84c-da37-5895-b869-ffcbf09b3609
01/03/2024,2,2.0,Enami,Velocidad del Viento,Paipote,Observada,fed0c3a6-8b6d-557d-b391-fe1e21f7325a
01/03/2024,3,1.6,Enami,Velocidad del Viento,Paipote,Observada,17ef47eb-a3c5-5a7d-941e-48bc5bb52e3f
01/03/2024,4,1.8,Enami,Velocidad del Viento,Paipote,Observada,fc8e7f6a-69f1-5c46-9a05-7882f66a90a5
01/03/2024,5,1.4,Enami,Velocidad del Viento,Paipote,Observada,9b978afd-8fdc-5d80-b46a-99e90f46dc77
01/03/2024,6,1.3,Enami,Velocidad del Viento,Paipote,Observada,30c38452-693b-5c5d-837d-50b22d56c11d
01/03/2024,7,0.9,Enami,Velocidad del Viento,Paipote,Observada,a7639b77-10c9-5458-9607-bbd366e52a2a
01/03/2024,8,1.2,Enami,Velocidad del Viento,Paipote,Observada,4cb9a69d-ba88-573a-ab9f-a49ed851f2cf
01/03/2024,9,1.1,Enami,Velocidad del Viento,Paipote,Observada,d00e8ae1-5357-5711-90c4-acddd8fb3122
01/03/2024,10,1.8,Enami,Velocidad del Viento,Paipote,Observada,c43302fa-27c8-5da5-9e47-2766fb58672e
01/03/2024,11,3.2,Enami,Velocidad del Viento,Paipote,Observada,81fa68b7-d24b-55dd-b267-951f0c903652
01/03/2024,12,4.1,Enami,Velocidad del Viento,Paipote,Observada,adb4cb4e-5129-5b41-9193-b58d305474c5
01/03/2024,13,4.2,Enami,Velocidad del Viento,Paipote,Observada,c9b4b654-961d-5080-b59a-8ce90c58ee3d
01/03/2024,14,4.1,Enami,Velocidad del Viento,Paipote,Observada,84421280-75b5-56fb-b84d-82ac93915399
01/03/2024,15,4.2,Enami,Velocidad del Viento,Paipote,Observada,cc15ad6a-a1e6-562a-97c2-668d9a2e88b9
