"Fecha","Hora","MP10 (µg/m³N)"
"07/11/2023","10","191.6"
"07/11/2023","11","42.4"
"07/11/2023","12","46.0"
"07/11/2023","13","53.4"
"07/11/2023","14","103.5"
"07/11/2023","15","266.1"
"07/11/2023","16","110.0"
"07/11/2023","17","59.0"
"07/11/2023","18","242.4"
"07/11/2023","19","25.4"
"07/11/2023","20","51.9"
"07/11/2023","21","26.2"
"07/11/2023","22","46.6"
"07/11/2023","23","80.2"
"08/11/2023","0","358.2"
"08/11/2023","1","314.2"
"08/11/2023","2","229.1"
"08/11/2023","3","69.8"
"08/11/2023","4","142.0"
"08/11/2023","5","70.9"
"08/11/2023","6","374.6"
"08/11/2023","7","274.2"
"08/11/2023","8","335.0"
"08/11/2023","9","92.4"
"08/11/2023","10","191.6"
"08/11/2023","11","60.7"
"08/11/2023","12","46.0"
"08/11/2023","13","42.8"
"08/11/2023","14","103.5"
"08/11/2023","15","266.1"
"08/11/2023","16","365.5"
"08/11/2023","17","59.0"
"08/11/2023","18","242.4"
"08/11/2023","19","12.5"
"08/11/2023","20","68.6"
"08/11/2023","21","26.2"
"08/11/2023","22","46.6"
"08/11/2023","23","80.2"
"09/11/2023","0","98.5"
"09/11/2023","1","332.7"
"09/11/2023","2","36.2"
"09/11/2023","3","90.9"
"09/11/2023","4","83.2"
"09/11/2023","5","43.7"
"09/11/2023","6","374.6"
"09/11/2023","7","594.1"
"09/11/2023","8","358.9"
"09/11/2023","9","149.8"
"09/11/2023","10","191.6"
"09/11/2023","11","60.7"
"09/11/2023","12","46.0"
"09/11/2023","13","27.2"
"09/11/2023","14","103.5"
"09/11/2023","15","266.1"
"09/11/2023","16","365.5"
"09/11/2023","17","59.0"
"09/11/2023","18","242.4"
"09/11/2023","19","19.4"
"09/11/2023","20","68.6"
"09/11/2023","21","26.2"
"09/11/2023","22","46.6"
"09/11/2023","23","80.2"
"10/11/2023","0","128.1"
"10/11/2023","1","167.3"
"10/11/2023","2","91.2"
"10/11/2023","3","90.9"
"10/11/2023","4","83.2"
"10/11/2023","5","123.6"
"10/11/2023","6","198.8"
"10/11/2023","7","146.4"
"10/11/2023","8","75.0"
"10/11/2023","9","54.6"
"10/11/2023","10","51.1"
"10/11/2023","11","86.8"
"10/11/2023","12","39.5"
"10/11/2023","13","32.0"
"10/11/2023","14","82.3"
"10/11/2023","15","189.3"
"10/11/2023","16","425.5"
"10/11/2023","17","59.0"
"10/11/2023","18","100.7"
"10/11/2023","19","12.5"
"10/11/2023","20","33.3"
"10/11/2023","21","26.2"
"10/11/2023","22","88.6"
"10/11/2023","23","53.8"
"11/11/2023","0","134.2"
"11/11/2023","1","167.3"
"11/11/2023","2","196.9"
"11/11/2023","3","348.4"
"11/11/2023","4","116.8"
"11/11/2023","5","173.3"
"11/11/2023","6","198.8"
"11/11/2023","7","131.8"
"11/11/2023","8","358.9"
"11/11/2023","9","123.4"
"11/11/2023","10","63.2"
"11/11/2023","11","60.7"
"11/11/2023","12","30.2"
"11/11/2023","13","42.8"
"11/11/2023","14","290.6"
"11/11/2023","15","266.1"
"11/11/2023","16","425.5"
"11/11/2023","17","117.7"
"11/11/2023","18","242.4"
"11/11/2023","19","25.4"
"11/11/2023","20","20.7"
"11/11/2023","21","165.5"
"11/11/2023","22","46.6"
"11/11/2023","23","80.2"
"12/11/2023","0","98.5"
"12/11/2023","1","158.5"
"12/11/2023","2","36.2"
"12/11/2023","3","133.8"
"12/11/2023","4","160.8"
"12/11/2023","5","160.2"
"12/11/2023","6","150.6"
"12/11/2023","7","225.6"
"12/11/2023","8","197.7"
"12/11/2023","9","92.4"
"12/11/2023","10","191.6"
"12/11/2023","11","60.7"
"12/11/2023","12","30.2"
"12/11/2023","13","42.8"
"12/11/2023","14","103.5"
"12/11/2023","15","266.1"
"12/11/2023","16","365.5"
"12/11/2023","17","56.2"
"12/11/2023","18","242.4"
"12/11/2023","19","25.4"
"12/11/2023","20","39.0"
"12/11/2023","21","26.2"
"12/11/2023","22","88.6"
"12/11/2023","23","95.9"
"13/11/2023","0","98.5"
"13/11/2023","1","167.3"
"13/11/2023","2","139.6"
"13/11/2023","3","93.6"
"13/11/2023","4","287.0"
"13/11/2023","5","123.6"
"13/11/2023","6","198.8"
"13/11/2023","7","112.0"
"13/11/2023","8","358.9"
"13/11/2023","9","110.4"
"13/11/2023","10","75.4"
"13/11/2023","11","60.7"
"13/11/2023","12","30.2"
"13/11/2023","13","42.8"
"13/11/2023","14","57.7"
"13/11/2023","15","266.1"
"13/11/2023","16","365.5"
"13/11/2023","17","59.0"
"13/11/2023","18","242.4"
"13/11/2023","19","25.4"
"13/11/2023","20","39.0"
"13/11/2023","21","55.2"
"13/11/2023","22","88.6"
"13/11/2023","23","132.0"
"14/11/2023","0","98.5"
"14/11/2023","1","255.0"
"14/11/2023","2","196.9"
"14/11/2023","3","133.8"
"14/11/2023","4","142.0"
"14/11/2023","5","123.6"
"14/11/2023","6","374.6"
"14/11/2023","7","229.8"
"14/11/2023","8","358.9"
"14/11/2023","9","92.4"
"14/11/2023","10","191.6"
"14/11/2023","11","60.7"
"14/11/2023","12","46.0"
"14/11/2023","13","42.8"
"14/11/2023","14","103.5"
"14/11/2023","15","266.1"
"14/11/2023","16","425.5"
"14/11/2023","17","56.2"
"14/11/2023","18","242.4"
"14/11/2023","19","12.5"
"14/11/2023","20","39.0"
"14/11/2023","21","26.2"
"14/11/2023","22","88.6"
"14/11/2023","23","53.8"
"15/11/2023","0","98.5"
"15/11/2023","1","459.7"
"15/11/2023","2","191.8"
"15/11/2023","3","161.8"
"15/11/2023","4","142.0"
"15/11/2023","5","160.2"
"15/11/2023","6","374.6"
"15/11/2023","7","276.3"
"15/11/2023","8","358.9"
"15/11/2023","9","149.8"
"15/11/2023","10","191.6"
"15/11/2023","11","60.7"
"15/11/2023","12","46.0"
"15/11/2023","13","27.2"
"15/11/2023","14","82.3"
"15/11/2023","15","266.1"
"15/11/2023","16","365.5"
"15/11/2023","17","117.7"
"15/11/2023","18","242.4"
