"Fecha","Hora","MP10 (µg/m³N)"
"07/11/2023","0","201.3"
"07/11/2023","1","130.5"
"07/11/2023","2","308.1"
"07/11/2023","3","522.6"
"07/11/2023","4","120.0"
"07/11/2023","5","185.4"
"07/11/2023","6","225.8"
"07/11/2023","7","344.7"
"07/11/2023","8","296.6"
"07/11/2023","9","138.6"
"07/11/2023","10","287.4"
"07/11/2023","11","35.7"
"07/11/2023","12","32.4"
"07/11/2023","13","229.0"
"07/11/2023","14","203.4"
"07/11/2023","15","186.3"
"07/11/2023","16","255.8"
"07/11/2023","17","41.3"
"07/11/2023","18","169.7"
"07/11/2023","19","48.8"
"07/11/2023","20","36.3"
"07/11/2023","21","97.8"
"07/11/2023","22","87.6"
"07/11/2023","23","229.8"
"08/11/2023","0","147.8"
"08/11/2023","1","744.0"
"08/11/2023","2","295.3"
"08/11/2023","3","522.6"
"08/11/2023","4","202.5"
"08/11/2023","5","185.4"
"08/11/2023","6","561.8"
"08/11/2023","7","923.7"
"08/11/2023","8","502.5"
"08/11/2023","9","138.6"
"08/11/2023","10","287.4"
"08/11/2023","11","42.5"
"08/11/2023","12","26.9"
"08/11/2023","13","30.0"
"08/11/2023","14","72.4"
"08/11/2023","15","186.3"
"08/11/2023","16","143.5"
"08/11/2023","17","39.3"
"08/11/2023","18","169.7"
"08/11/2023","19","48.8"
"08/11/2023","20","49.1"
"08/11/2023","21","97.8"
"08/11/2023","22","87.6"
"08/11/2023","23","597.4"
"09/11/2023","0","147.8"
"09/11/2023","1","130.5"
"09/11/2023","2","308.1"
"09/11/2023","3","522.6"
"09/11/2023","4","202.5"
"09/11/2023","5","499.9"
"09/11/2023","6","225.8"
"09/11/2023","7","344.7"
"09/11/2023","8","502.5"
"09/11/2023","9","138.6"
"09/11/2023","10","287.4"
"09/11/2023","11","67.9"
"09/11/2023","12","82.5"
"09/11/2023","13","37.4"
"09/11/2023","14","72.4"
"09/11/2023","15","186.3"
"09/11/2023","16","255.8"
"09/11/2023","17","61.1"
"09/11/2023","18","169.7"
"09/11/2023","19","48.8"
"09/11/2023","20","64.2"
"09/11/2023","21","97.8"
"09/11/2023","22","42.8"
"09/11/2023","23","126.0"
"10/11/2023","0","192.2"
"10/11/2023","1","342.9"
"10/11/2023","2","295.3"
"10/11/2023","3","140.4"
"10/11/2023","4","213.0"
"10/11/2023","5","596.4"
"10/11/2023","6","298.2"
"10/11/2023","7","138.7"
"10/11/2023","8","112.5"
"10/11/2023","9","81.9"
"10/11/2023","10","94.8"
"10/11/2023","11","60.7"
"10/11/2023","12","65.4"
"10/11/2023","13","22.4"
"10/11/2023","14","32.4"
"10/11/2023","15","67.7"
"10/11/2023","16","106.4"
"10/11/2023","17","41.3"
"10/11/2023","18","70.5"
"10/11/2023","19","40.7"
"10/11/2023","20","49.1"
"10/11/2023","21","39.3"
"10/11/2023","22","132.9"
"10/11/2023","23","120.2"
"11/11/2023","0","147.8"
"11/11/2023","1","689.6"
"11/11/2023","2","295.3"
"11/11/2023","3","522.6"
"11/11/2023","4","430.5"
"11/11/2023","5","185.4"
"11/11/2023","6","298.2"
"11/11/2023","7","197.6"
"11/11/2023","8","656.1"
"11/11/2023","9","185.1"
"11/11/2023","10","94.8"
"11/11/2023","11","42.5"
"11/11/2023","12","21.1"
"11/11/2023","13","30.0"
"11/11/2023","14","203.4"
"11/11/2023","15","186.3"
"11/11/2023","16","255.8"
"11/11/2023","17","41.3"
"11/11/2023","18","169.7"
"11/11/2023","19","49.0"
"11/11/2023","20","49.1"
"11/11/2023","21","97.8"
"11/11/2023","22","69.9"
"11/11/2023","23","67.2"
"12/11/2023","0","147.8"
"12/11/2023","1","130.5"
"12/11/2023","2","295.3"
"12/11/2023","3","522.6"
"12/11/2023","4","430.5"
"12/11/2023","5","328.5"
"12/11/2023","6","225.8"
"12/11/2023","7","197.6"
"12/11/2023","8","502.5"
"12/11/2023","9","138.6"
"12/11/2023","10","287.4"
"12/11/2023","11","42.5"
"12/11/2023","12","21.1"
"12/11/2023","13","30.0"
"12/11/2023","14","203.4"
"12/11/2023","15","186.3"
"12/11/2023","16","77.0"
"12/11/2023","17","41.3"
"12/11/2023","18","169.7"
"12/11/2023","19","42.5"
"12/11/2023","20","71.6"
"12/11/2023","21","97.8"
"12/11/2023","22","78.8"
"12/11/2023","23","229.8"
"13/11/2023","0","201.3"
"13/11/2023","1","130.5"
"13/11/2023","2","308.1"
"13/11/2023","3","522.6"
"13/11/2023","4","193.5"
"13/11/2023","5","565.5"
"13/11/2023","6","298.2"
"13/11/2023","7","344.7"
"13/11/2023","8","351.8"
"13/11/2023","9","138.6"
"13/11/2023","10","113.1"
"13/11/2023","11","35.7"
"13/11/2023","12","21.1"
"13/11/2023","13","30.0"
"13/11/2023","14","203.4"
"13/11/2023","15","186.3"
"13/11/2023","16","77.0"
"13/11/2023","17","41.3"
"13/11/2023","18","169.7"
"13/11/2023","19","41.4"
"13/11/2023","20","71.6"
"13/11/2023","21","97.8"
"13/11/2023","22","132.9"
"13/11/2023","23","229.8"
"14/11/2023","0","537.3"
"14/11/2023","1","744.0"
"14/11/2023","2","214.0"
"14/11/2023","3","242.7"
"14/11/2023","4","213.0"
"14/11/2023","5","240.4"
"14/11/2023","6","561.8"
"14/11/2023","7","344.7"
"14/11/2023","8","296.6"
"14/11/2023","9","500.0"
"14/11/2023","10","287.4"
"14/11/2023","11","30.0"
"14/11/2023","12","21.1"
"14/11/2023","13","61.1"
"14/11/2023","14","57.6"
"14/11/2023","15","186.3"
"14/11/2023","16","255.8"
"14/11/2023","17","41.3"
"14/11/2023","18","169.7"
"14/11/2023","19","49.0"
"14/11/2023","20","71.6"
"14/11/2023","21","97.8"
"14/11/2023","22","132.9"
"14/11/2023","23","229.8"
"15/11/2023","0","147.8"
"15/11/2023","1","744.0"
"15/11/2023","2","214.0"
"15/11/2023","3","716.4"
"15/11/2023","4","341.1"
"15/11/2023","5","240.4"
"15/11/2023","6","888.0"
"15/11/2023","7","162.8"
"15/11/2023","8","693.3"
"15/11/2023","9","500.0"
"15/11/2023","10","287.4"
"15/11/2023","11","42.5"
"15/11/2023","12","21.1"
"15/11/2023","13","19.5"
"15/11/2023","14","59.9"
"15/11/2023","15","186.3"
"15/11/2023","16","255.8"
"15/11/2023","17","61.1"
"15/11/2023","18","169.7"
"15/11/2023","19","48.8"
"15/11/2023","20","71.6"
"15/11/2023","21","97.8"
"15/11/2023","22","69.9"
"15/11/2023","23","229.8"
"16/11/2023","0","147.8"
"16/11/2023","1","744.0"
"16/11/2023","2","214.0"
"16/11/2023","3","156.3"
"16/11/2023","4","292.7"
"16/11/2023","5","361.8"
"16/11/2023","6","561.8"
"16/11/2023","7","344.7"
"16/11/2023","8","296.6"
"16/11/2023","9","500.0"
"16/11/2023","10","287.4"
"16/11/2023","11","30.0"
"16/11/2023","12","21.1"
"16/11/2023","13","19.5"
"16/11/2023","14","59.9"
"16/11/2023","15","186.3"
"16/11/2023","16","255.8"
"16/11/2023","17","39.3"
"16/11/2023","18","169.7"
"16/11/2023","19","48.8"
"16/11/2023","20","49.1"
"16/11/2023","21","97.8"
"16/11/2023","22","69.9"
"16/11/2023","23","67.2"
"17/11/2023","0","681.0"
"17/11/2023","1","693.0"
"17/11/2023","2","429.7"
"17/11/2023","3","468.6"
"17/11/2023","4","213.0"
"17/11/2023","5","240.4"
"17/11/2023","6","561.8"
"17/11/2023","7","344.7"
"17/11/2023","8","296.6"
"17/11/2023","9","138.6"
"17/11/2023","10","287.4"
"17/11/2023","11","67.9"
"17/11/2023","12","21.1"
"17/11/2023","13","19.5"
"17/11/2023","14","59.9"
"17/11/2023","15","50.0"
"17/11/2023","16","143.5"
"17/11/2023","17","61.1"
"17/11/2023","18","169.7"
"17/11/2023","19","48.8"
"17/11/2023","20","38.8"
"17/11/2023","21","97.8"
"17/11/2023","22","83.7"
"17/11/2023","23","229.8"
"18/11/2023","0","681.0"
"18/11/2023","1","744.0"
"18/11/2023","2","280.2"
"18/11/2023","3","507.3"
"18/11/2023","4","292.7"
"18/11/2023","5","282.6"
"18/11/2023","6","888.0"
"18/11/2023","7","493.1"
"18/11/2023","8","646.5"
"18/11/2023","9","325.5"
"18/11/2023","10","287.4"
"18/11/2023","11","38.6"
"18/11/2023","12","32.4"
"18/11/2023","13","19.0"
"18/11/2023","14","62.9"
"18/11/2023","15","186.3"
"18/11/2023","16","77.0"
"18/11/2023","17","41.3"
"18/11/2023","18","169.7"
"18/11/2023","19","49.0"
"18/11/2023","20","27.3"
"18/11/2023","21","97.8"
"18/11/2023","22","69.9"
"18/11/2023","23","114.9"
"19/11/2023","0","147.8"
"19/11/2023","1","237.8"
"19/11/2023","2","167.1"
"19/11/2023","3","213.9"
"19/11/2023","4","217.0"
"19/11/2023","5","171.6"
"19/11/2023","6","225.8"
"19/11/2023","7","891.2"
"19/11/2023","8","430.3"
"19/11/2023","9","503.1"
"19/11/2023","10","118.8"
