Fecha,Hora,Pronosticada,ID_table,Minera,Variable,Estacion,OBS-PRO,uuid
10/06/2023,7,1.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,09883526-d875-5bf3-ab33-cc9fcd882b35
10/06/2023,8,2.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c0a554e8-fd1d-52f6-bbdd-80fd41c08cae
10/06/2023,9,4.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cf9fcb81-e71a-51fe-854d-0c91167bc155
10/06/2023,10,4.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,46a45dbf-1f48-53a4-8a54-58f78e91c007
10/06/2023,11,5.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,7b0ead11-7afb-5c03-bdd9-21493de2d2ba
10/06/2023,12,5.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,4bf73eec-2416-5b59-a2db-5b7ce389ecc7
10/06/2023,13,4.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,ca0f7e7c-366c-5d62-9d81-73d23f3d8c6b
10/06/2023,14,4.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,5a81cd59-e16f-53cc-b0a8-f12886ae4532
10/06/2023,15,4.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,55b85f20-aa21-5f12-ad53-5276eff15db3
10/06/2023,16,4.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2f02dcb4-2bb2-5e91-985d-21294405c2a2
10/06/2023,17,4.8,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,5c3362ee-8684-5f23-bc97-f06d3d829721
10/06/2023,18,2.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cf303ccc-400c-5b7b-a459-aa1a419cc62f
10/06/2023,19,0.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,af15f8e1-1e88-5d66-b36d-ca1a3200975b
10/06/2023,20,0.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c006890d-d3e9-5b45-9f9a-04dff9f0979c
10/06/2023,21,2.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2132b523-cbcd-5be7-8def-937abd9646e4
10/06/2023,22,0.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b6b06e9d-6eeb-5dc6-8feb-5e6f244a1191
10/06/2023,23,0.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,dc0df919-296b-5b3b-9645-ac08d98cf722
10/07/2023,0,0.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,365df252-758b-53f1-a8b7-0657e67a995a
10/07/2023,1,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,f4370c60-0a2d-5f20-bde7-f66273e55d85
10/07/2023,2,1.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,048c4f73-106f-5d7d-9aad-04b17096eb76
10/07/2023,3,2.7,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,27d88fc9-0417-56e8-b7cd-7e35bf797b7d
10/07/2023,4,2.6,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,be610bc8-554b-50b5-94d0-e14d0a30f382
10/07/2023,5,1.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,2091fb1d-281e-5d01-b675-217894af54a3
10/07/2023,6,1.4,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,6a7c1e39-52c0-55c9-9798-894d3fb96821
10/07/2023,7,1.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,b3519ca3-b189-50c3-89fd-43f8bd3aa5d3
10/07/2023,8,2.5,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,616a69df-827c-59ed-a53b-6d5a88cdfa4e
10/07/2023,9,3.1,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,cf7d14fe-3b69-568a-a465-8c491878fb19
10/07/2023,10,3.9,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,1e03d098-865c-5d63-b5b8-f263a64f5884
10/07/2023,11,4.3,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,0269d4ea-6403-5f8c-a50f-f3725a4af596
10/07/2023,12,4.2,37,Sierra Gorda,Velocidad del Viento,Sierra Gorda,Pronosticada,c5d26634-3ded-5535-bed8-78ceb4312e5a
